Player,Age,Team,Position,GP,CF,CA,CF%,CF rel,FF,FA,FF%,FF rel,oiSH%,oiSV%,PDO,oZS%,dZS%,TOI/60,TOI(EV),TK,GV,E+/-,SAtt.,Thru%
Andy Welinski,27,ANA,D,13,150,165,47.6,1.9,110,134,45.1,0.6,13.6,94.9,108.5,55.5,44.5,15:02,13:43,2,7,-2.7,35,45.7
Alexander Wennberg,26,FLA,C,56,680,615,52.5,-1.3,530,472,52.9,-1.1,11.7,88.8,100.5,54.6,45.4,18:10,13:39,30,22,-1.5,133,61.7
Zach Werenski,23,CBJ,D,35,634,628,50.2,5.9,483,480,50.2,4.9,7.4,90.1,97.6,57.1,42.9,24:22,20:18,10,19,-4.7,141,56.0
Blake Wheeler,34,WPG,RW,50,642,693,48.1,-0.4,490,527,48.2,-0.4,10.7,86.7,97.4,60.6,39.4,18:20,15:16,25,16,-9.3,169,66.9
Colin White,24,OTT,C,45,567,521,52.1,5.1,422,384,52.4,4.9,8.1,90.3,98.4,43.7,56.3,14:41,13:06,15,25,-2.0,132,52.3
Colton White,23,NJD,D,2,26,23,53.1,10.8,21,19,52.5,7.4,0.0,91.7,91.7,40.0,60.0,14:16,14:02,0,0,-0.5,4,75.0
Zach Whitecloud,24,VEG,D,51,718,670,51.7,-2.3,518,466,52.6,-1.7,7.6,93.9,101.5,53.2,46.8,17:49,15:47,9,14,0.5,127,42.5
Tom Wilson,26,WSH,RW,47,538,541,49.9,-1.3,400,423,48.6,-2.7,13.1,88.7,101.7,60.9,39.1,16:31,13:17,20,16,3.5,138,60.1
Christian Wolanin,25,TOT,D,18,211,204,50.8,0.3,157,160,49.5,-2.1,10.6,85.8,96.4,52.0,48.0,13:16,11:54,1,13,-0.3,,
Miles Wood,25,NJD,LW,55,603,623,49.2,-2.0,467,496,48.5,-1.6,8.3,90.9,99.1,34.1,65.9,14:59,13:01,18,23,0.8,184,69.6
Kailer Yamamoto,22,EDM,RW,52,696,682,50.5,2.4,526,509,50.8,2.6,8.8,92.9,101.7,55.8,44.2,16:22,14:58,32,21,1.6,118,59.3
Keith Yandle,34,FLA,D,56,702,526,57.2,4.9,539,417,56.4,3.5,7.6,89.4,97.0,72.9,27.1,17:15,12:43,13,32,6.9,217,52.1
Jesse Ylönen,21,MTL,RW,1,11,12,47.8,-16.1,9,10,47.4,-14.3,0.0,100.0,100.0,60.0,40.0,11:23,10:05,0,1,-0.1,4,25.0
Cameron York,20,PHI,D,3,46,67,40.7,-16.1,30,48,38.5,-19.2,5.6,94.7,100.3,53.1,46.9,19:47,17:17,1,0,-1.5,6,16.7
